iter,genotype,score,loss
1,418394,0.4531,1.5191161319732667
1,412030,0.4517,1.518314316558838
1,349916,0.4511,1.5231595077514648
1,906685,0.451,1.5218307546615601
1,458413,0.4483,1.551539570426941
1,583286,0.4455,1.5345876930236817
1,841502,0.4451,1.5265819871902466
1,915760,0.445,1.5495494281768798
1,851614,0.444,1.5300434324264527
1,1022812,0.4429,1.5549832719802856
1,471703,0.4418,1.549564178276062
1,768410,0.4389,1.5726549312591553
1,993719,0.4381,1.5636745779037475
1,939796,0.4372,1.5503784397125244
1,664542,0.4368,1.5786160579681396
1,354303,0.436,1.56256201171875
1,715247,0.4347,1.5824307119369507
1,744116,0.4327,1.5826320037841797
1,930078,0.4319,1.5713059070587159
1,780726,0.4317,1.556061122894287
1,585374,0.4299,1.5769599243164063
1,357875,0.429,1.5671144638061523
1,1033837,0.4289,1.5901224763870239
1,686679,0.4288,1.5826259401321412
1,335352,0.4274,1.5916404230117798
1,555512,0.4274,1.576558576774597
1,1035113,0.4265,1.5875824823379516
1,601901,0.4264,1.5865116247177125
1,321778,0.4262,1.6025315816879273
1,489687,0.426,1.5837277111053467
1,803576,0.4259,1.5729058910369873
1,545525,0.4259,1.5652821271896362
1,844045,0.4259,1.619653853225708
1,947444,0.4257,1.5832513605117797
1,383742,0.4243,1.5836000890731812
1,663214,0.4236,1.6149157312393188
1,413304,0.423,1.5839688690185547
1,869906,0.4228,1.6112773643493652
1,448332,0.4226,1.601845972251892
1,116470,0.4219,1.6101686485290527
1,936432,0.4217,1.6125189622879028
1,180660,0.4216,1.5959840055465697
1,1010283,0.4208,1.6169617334365844
1,286571,0.4208,1.616010771369934
1,423341,0.4185,1.6092799404144287
1,375418,0.4185,1.603494860267639
1,255708,0.4184,1.5990669834136964
1,644393,0.4167,1.6259077297210693
1,747979,0.4165,1.6282457586288452
1,60372,0.4127,1.634778247833252
1,314518,0.4124,1.631016236114502
1,1004020,0.411,1.63787218208313
1,877386,0.4105,1.6433361274719238
1,491197,0.4105,1.6120522348403932
1,120372,0.4094,1.6748285541534425
1,223083,0.4083,1.6463738513946533
1,908399,0.4079,1.6433876962661744
1,280665,0.4068,1.6312601461410523
1,615082,0.4063,1.6755388919830323
1,477478,0.4063,1.6439803314208985
1,719283,0.4062,1.6475630493164062
1,214577,0.4057,1.657007343673706
1,283735,0.4053,1.6564065425872803
1,551655,0.4005,1.6466032432556152
1,318695,0.3993,1.6619835006713868
1,185193,0.3991,1.6900639348983764
1,122047,0.3979,1.7035826557159424
1,446714,0.397,1.654518328857422
1,888047,0.3949,1.6766135471343995
1,941029,0.3929,1.6831135375976563
1,659944,0.3916,1.6855656883239747
1,995470,0.3914,1.6998653408050537
1,235801,0.3846,1.7446509351730346
1,179326,0.3837,1.7359041610717774
1,134354,0.375,1.7708715005874633
1,236231,0.3732,1.7453179166793824
1,693062,0.3693,1.744237109375
1,121918,0.366,1.8274809230804443
1,690866,0.3646,1.7759796892166138
1,469765,0.364,1.7326542110443115
1,251364,0.3606,1.7489423870086669
1,87532,0.3586,1.8205654079437257
1,787674,0.3584,1.8286038934707642
1,981954,0.3563,1.757620986366272
1,429292,0.3485,1.7901205366134643
1,95435,0.3459,1.8579772214889527
1,695524,0.3407,1.834780652999878
1,648259,0.3384,1.8275482175827027
1,431196,0.3332,1.8633871307373047
1,722796,0.3322,1.8307580741882323
1,952901,0.3216,1.8285759405136108
1,222914,0.3205,1.9211546281814575
1,952776,0.3186,1.8162257995605469
