iter,genotype,score,loss
1,545525,0.1,14.50628570251465
1,354303,0.1,14.50628570251465
1,915760,0.1,13.935393106079102
1,844045,0.1,14.505101181030273
1,930078,0.1,14.506285690307617
1,446714,0.1,14.506285690307617
1,744116,0.1,14.506285684204101
1,418394,0.1,14.506285662841798
1,803576,0.1,14.50628570251465
1,869906,0.1,14.506285662841798
1,60372,0.1,14.50628567199707
1,375418,0.1,14.50628567352295
1,841502,0.1,14.506285662841798
1,615082,0.1,14.503684631347657
1,383742,0.1,14.50628570251465
1,491197,0.1,14.506285662841798
1,1004020,0.1,14.506285678100586
1,1022812,0.1,14.505591152954102
1,877386,0.1,14.506053384399413
1,413304,0.1,14.504348086547852
1,906685,0.1,14.506285662841798
1,686679,0.1,14.506285684204101
2,135629,0.4181,1.6401315692901612
2,280665,0.4009,1.677261766242981
2,283735,0.4005,1.6632710382461549
2,873559,0.4005,1.6632710382461549
2,477478,0.3993,1.6746228921890258
2,280667,0.3971,1.6850145280838014
2,318695,0.3915,1.694687914276123
2,318695,0.3915,1.694687914276123
2,888047,0.386,1.7006436141967773
2,659944,0.386,1.702875496864319
2,134354,0.3843,1.749918274116516
2,134354,0.3843,1.749918274116516
2,995470,0.3747,1.7749741521835327
2,967846,0.3744,1.758033916091919
2,265432,0.3742,1.7359396348953247
2,368327,0.367,1.7627187122344972
2,124644,0.3616,1.770705403137207
2,941029,0.3583,1.7530071605682374
2,787674,0.3548,1.8352242670059205
2,992739,0.3526,1.806378809928894
2,133330,0.3511,1.824114666557312
2,952776,0.3501,1.7851994159698485
2,952776,0.3501,1.7851994159698485
2,919006,0.3499,1.8209730382919311
2,690866,0.3439,1.8322706569671632
2,690866,0.3439,1.8322706569671632
2,981954,0.3405,1.7987700584411621
2,648259,0.3368,1.8348188095092774
2,314518,0.3367,1.8505567844390869
2,551655,0.336,1.8210508945465087
2,236231,0.3344,1.841131982421875
2,952901,0.3337,1.802642172431946
2,722796,0.3293,1.838395299911499
2,469765,0.3283,1.8182886569976806
2,349232,0.3253,1.8807786170959473
2,493298,0.3233,1.8309914016723632
2,605244,0.3177,1.8727644710540772
2,534565,0.3163,1.9287876607894898
2,534566,0.3121,1.8646020298004151
2,749895,0.3116,2.004577099609375
2,853675,0.3093,1.9057158813476562
2,729611,0.3082,1.991422137069702
2,429292,0.3065,1.9411885047912598
2,236599,0.3051,1.9182495594024658
2,755043,0.3008,1.9196401905059814
2,729410,0.2985,1.9540896953582763
