iter,genotype,score,loss
1,335352,988.3066519111553,11.693348088844655
1,235801,987.8842344697865,12.115765530213489
1,362546,969.752539113655,30.247460886345078
1,375418,966.6263826123479,33.37361738765202
1,180660,966.3020632690572,33.697936730942835
1,122047,965.3607218860889,34.639278113911075
1,134354,964.2809494161328,35.719050583867215
1,471703,957.3555063705178,42.6444936294822
1,768410,953.7819514206117,46.21804857938836
1,121918,953.4914011237952,46.50859887620484
1,236231,953.1296458276884,46.87035417231168
1,314518,947.4085114468687,52.59148855313129
1,214577,942.8109914421061,57.18900855789391
1,413304,939.0809860738277,60.91901392617234
1,601901,935.1792017033058,64.82079829669424
1,469765,933.0293608298803,66.97063917011972
1,638881,929.16856749563,70.83143250437007
1,412030,927.1242528982082,72.87574710179189
1,477478,919.6130634312719,80.38693656872802
1,318695,918.032472328337,81.96752767166305
1,491197,917.9964363624872,82.00356363751281
1,888047,914.6235001709281,85.37649982907188
1,755043,908.2241001025569,91.77589989744311
1,179326,904.5066524505391,95.49334754946085
1,429292,901.4136781822823,98.58632181771767
1,534565,894.9408462552939,105.05915374470615
1,280665,893.697246814741,106.30275318525896
1,116470,892.5009732128328,107.49902678716711
1,458413,889.600256603864,110.39974339613605
1,780726,887.1241386100531,112.87586138994688
1,120372,887.069284104599,112.93071589540104
1,383742,883.5210194702556,116.47898052974439
1,87532,875.8387577455696,124.16124225443039
1,321778,870.2323642050538,129.76763579494616
1,744116,867.0474777871784,132.9525222128216
1,729410,866.429133017662,133.57086698233798
1,431196,861.3244022259063,138.67559777409372
1,663214,860.04102537038,139.95897462962003
1,1033837,859.4038427851252,140.59615721487475
1,644393,856.3915911165252,143.60840888347485
1,286571,853.8319707867138,146.16802921328616
1,1022812,853.4428959497885,146.55710405021148
1,251364,850.5009732128328,149.4990267871671
1,908399,848.9953972439555,151.0046027560445
1,659944,840.8433634476099,159.15663655239004
1,349916,840.3364448259812,159.6635551740188
1,446714,837.9581843905853,162.0418156094147
1,585374,836.3644975206964,163.6355024793036
1,906685,835.9551159637724,164.04488403622753
1,747979,834.0197344007954,165.98026559920456
1,993719,832.0903582121498,167.90964178785026
1,915760,827.4893260469519,172.51067395304807
1,418394,827.1795821625501,172.82041783744987
1,869906,824.9458014569144,175.0541985430856
1,489687,823.3738609389109,176.62613906108913
1,283735,807.5453878184115,192.45461218158843
1,555512,806.9314459372512,193.06855406274883
1,185193,805.7169665552643,194.2830334447357
1,658113,804.5669682564412,195.43303174355881
1,615082,802.1208636630093,197.87913633699063
1,545525,801.1551935942322,198.84480640576783
1,995470,794.7098736799453,205.2901263200547
1,690866,794.6093448992292,205.39065510077077
1,1035113,788.3816383365928,211.61836166340717
1,60372,784.7857212636792,215.2142787363208
1,551655,782.2666684392512,217.73333156074872
1,255708,769.7385384218101,230.26146157819
1,353633,768.7533290380137,231.24667096198627
1,722796,765.8139799978982,234.18602000210183
1,1004020,759.9002561300783,240.0997438699216
1,448332,751.8595308846222,248.14046911537775
1,686679,743.8197279212485,256.1802720787515
1,695524,740.4896147374204,259.51038526257963
1,1010283,731.3170002739049,268.6829997260951
1,664542,731.2915061524574,268.7084938475426
1,787674,730.2350918523963,269.7649081476037
1,222914,730.0763229545466,269.9236770454533
1,715247,726.7297878943203,273.27021210567966
1,803576,711.1421175841394,288.8578824158605
1,693062,700.0717343124486,299.92826568755146
1,357875,698.5849448308581,301.4150551691419
